uptime_s,free_mb,total_mb,percent,tensor_layers,metal_broken
 62, 12123, 12124, 100,-1,0
 62, 12123, 12124, 100,-1,0
 62, 12123, 12124, 100,-1,0
 62, 12123, 12124, 100,-1,0
 62, 12123, 12124, 100,-1,0
 62, 12123, 12124, 100,-1,0
 62, 12123, 12124, 100,-1,0
 62, 12123, 12124, 100,-1,0
 63, 12123, 12124, 100,-1,0
 63, 12123, 12124, 100,-1,0
 63, 12123, 12124, 100,-1,0
 63, 12123, 12124, 100,-1,0
 63, 12123, 12124, 100,-1,0
 63, 12123, 12124, 100,-1,0
 63, 12123, 12124, 100,-1,0
 63, 12123, 12124, 100,-1,0
 63, 12123, 12124, 100,-1,0
 63, 12123, 12124, 100,-1,0
 64, 12123, 12124, 100,-1,0
 64, 12123, 12124, 100,-1,0
 64, 12123, 12124, 100,-1,0
 64, 12123, 12124, 100,-1,0
 64, 12123, 12124, 100,-1,0
 64, 12123, 12124, 100,-1,0
 64, 12123, 12124, 100,-1,0
 64, 12123, 12124, 100,-1,0
 64, 12123, 12124, 100,-1,0
 64, 12123, 12124, 100,-1,0
 65, 12123, 12124, 100,-1,0
 65, 12123, 12124, 100,-1,0
 65, 12123, 12124, 100,-1,0
 65, 12123, 12124, 100,-1,0
 65, 12123, 12124, 100,-1,0
 65, 12123, 12124, 100,-1,0
 65, 12123, 12124, 100,-1,0
 65, 12123, 12124, 100,-1,0
 65, 12123, 12124, 100,-1,0
 65, 12123, 12124, 100,-1,0
 66, 12123, 12124, 100,-1,0
 66, 12123, 12124, 100,-1,0
 66, 12123, 12124, 100,-1,0
 66, 12123, 12124, 100,-1,0
 66, 12123, 12124, 100,-1,0
 66, 12123, 12124, 100,-1,0
 66, 12123, 12124, 100,-1,0
 66, 12123, 12124, 100,-1,0
 66, 12123, 12124, 100,-1,0
 67, 12123, 12124, 100,-1,0
 67, 12123, 12124, 100,-1,0
 67, 12123, 12124, 100,-1,0
 67, 12123, 12124, 100,-1,0
 67, 12123, 12124, 100,-1,0
 67, 12123, 12124, 100,-1,0
 67, 12123, 12124, 100,-1,0
 67, 12123, 12124, 100,-1,0
 67, 12123, 12124, 100,-1,0
 67, 12123, 12124, 100,-1,0
 68, 12123, 12124, 100,-1,0
 68, 12123, 12124, 100,-1,0
 68, 12123, 12124, 100,-1,0
 68, 12123, 12124, 100,-1,0
 68, 12123, 12124, 100,-1,0
 68, 12123, 12124, 100,-1,0
 68, 12123, 12124, 100,-1,0
 68, 12123, 12124, 100,-1,0
 68, 12123, 12124, 100,-1,0
 68, 12123, 12124, 100,-1,0
 69, 12123, 12124, 100,-1,0
 69, 12123, 12124, 100,-1,0
 69, 12123, 12124, 100,-1,0
 69, 12123, 12124, 100,-1,0
 69, 12123, 12124, 100,-1,0
 69, 12123, 12124, 100,-1,0
 69, 12123, 12124, 100,-1,0
 69, 12123, 12124, 100,-1,0
 69, 12123, 12124, 100,-1,0
 69, 12123, 12124, 100,-1,0
 70, 12123, 12124, 100,-1,0
 70, 12123, 12124, 100,-1,0
 70, 12123, 12124, 100,-1,0
 70, 12123, 12124, 100,-1,0
 70, 12123, 12124, 100,-1,0
 70, 12123, 12124, 100,-1,0
 70, 12123, 12124, 100,-1,0
 70, 12123, 12124, 100,-1,0
 70, 12123, 12124, 100,-1,0
 70, 12123, 12124, 100,-1,0
 71, 12123, 12124, 100,-1,0
 71, 12123, 12124, 100,-1,0
 71, 12123, 12124, 100,-1,0
 71, 12123, 12124, 100,-1,0
 71, 12123, 12124, 100,-1,0
 71, 12123, 12124, 100,-1,0
 71, 12123, 12124, 100,-1,0
 71, 12123, 12124, 100,-1,0
 71, 12123, 12124, 100,-1,0
 71, 12123, 12124, 100,-1,0
 72, 12123, 12124, 100,-1,0
 72, 12123, 12124, 100,-1,0
 72, 12123, 12124, 100,-1,0
 72, 12123, 12124, 100,-1,0
 72, 12123, 12124, 100,-1,0
 72, 12123, 12124, 100,-1,0
 72, 12123, 12124, 100,-1,0
 72, 12123, 12124, 100,-1,0
 72, 12123, 12124, 100,-1,0
 72, 12123, 12124, 100,-1,0
 73, 12123, 12124, 100,-1,0
 73, 12123, 12124, 100,-1,0
 73, 12123, 12124, 100,-1,0
 73, 12123, 12124, 100,-1,0
 73, 12123, 12124, 100,-1,0
 73, 12123, 12124, 100,-1,0
 73, 12123, 12124, 100,-1,0
 73, 12123, 12124, 100,-1,0
 73, 12123, 12124, 100,-1,0
 73, 12123, 12124, 100,-1,0
 74, 12123, 12124, 100,-1,0
 74, 12123, 12124, 100,-1,0
 74, 12123, 12124, 100,-1,0
 74, 12123, 12124, 100,-1,0
 74, 12123, 12124, 100,-1,0
 74, 12123, 12124, 100,-1,0
 74, 12123, 12124, 100,-1,0
 74, 12123, 12124, 100,-1,0
 74, 12123, 12124, 100,-1,0
 75, 12123, 12124, 100,-1,0
 75, 12123, 12124, 100,-1,0
 75, 12123, 12124, 100,-1,0
 75, 12123, 12124, 100,-1,0
 75, 12123, 12124, 100,-1,0
 75, 12123, 12124, 100,-1,0
 75, 12123, 12124, 100,-1,0
 75, 12123, 12124, 100,-1,0
 75, 12123, 12124, 100,-1,0
 75, 12123, 12124, 100,-1,0
 76, 12123, 12124, 100,-1,0
 76, 12123, 12124, 100,-1,0
 76, 12123, 12124, 100,-1,0
 76, 12123, 12124, 100,-1,0
 76, 12123, 12124, 100,-1,0
 76, 12123, 12124, 100,-1,0
 76, 12123, 12124, 100,-1,0
 76, 12123, 12124, 100,-1,0
